2024-04-15             11,25010             14,06867             11,14734              7,88445              8,09041             12,80350              5,15412             13,86274              9,25939             12,14697             14,74366             11,54386              8,14990             11,05063             11,22987             11,87605             10,82167              5,80601              6,19670              9,40751             10,86864              9,57521             10,93598             14,83829              8,83619              6,41463             11,55998             14,20981              9,55512             11,52523             10,16165              5,19272             10,48638              5,41912              9,09547
2024-04-16              7,52301              9,64271             12,02577              9,67644             12,04713              7,90634             13,38267             14,93426              6,21284             12,89112              9,21691              5,00755             14,54416              8,32855              7,72528              6,46639             11,69150             14,91094              5,31419              8,54588             13,49165             11,69868              5,08588             10,78609              6,82948             12,38689             10,78399              5,54726             14,29830             13,72695              7,82087             10,50827              9,07788              9,79238             14,18060
2024-04-17             12,98825              6,46884              7,39615              7,05654              7,97987             10,33373             11,82476             10,62725             13,95160              9,54649             12,81650              5,93331              8,46840             12,07624             13,25430              5,38902             12,37116             12,60757              6,49215             13,99109              8,84560             13,14284              8,05138              6,30057              5,40334              8,82915              9,10566              6,00332             13,58693              7,66724              6,01582             14,76961             12,07834             14,24253              9,61633
2024-04-18              6,18185              5,75222              9,83569              8,47236              8,83213              6,43189             13,19264              5,68588              5,71727             10,93191             11,53292              5,03640             12,15241              6,24430              8,34670              7,20224             11,05640             14,11711             14,75188             10,29957              9,77623              5,70376              9,80617             11,21727              7,98516             13,95465              5,76424              8,71896             14,33822             11,68320              6,40970              7,80463              6,78077              8,36612              7,67701
2024-04-19             11,41298              9,88649             14,74508             13,75952             14,94427             13,95866             11,51298              6,75497             12,71321             12,90496              9,05601              8,47282             13,22067             13,39713             14,33868              8,86621             11,93696             13,93482             11,17712             11,77584             11,46446             14,29363              8,60233             14,07672              5,45004              5,24342              6,32631              7,21581              8,67010              7,14365             13,43374              6,32021             14,75663             13,15593             10,58523
2024-04-20             10,46262              7,06899             12,11712              8,18695             10,56868             14,55483             14,14099              9,02094              6,24543             14,58316             10,44140              6,50123             11,69538              8,03977             13,82908             12,35667             14,37745              6,02525              8,00895             13,76319              5,43176             12,00397              7,96899             13,53488              8,48961             12,88138             12,24804             12,02882             10,65923             11,49040             10,94516              7,32120              5,32156             10,44301              9,88746
2024-04-21             12,71029              7,35452              5,59115             10,15336              9,47850             12,21921              7,49643              9,28631              5,26211              6,23831             14,72330              8,58545             12,81451              6,66670              8,25598              8,99454             11,71612             11,07427              8,01469             12,07316              9,26867             13,52692              8,10602              8,63397             11,81287              7,77224              7,77797              9,30681              7,72101              7,74929             10,83054              7,89145             13,68596             13,77531              9,03776
2024-04-22              9,55859              8,99274              5,84741              7,99743             13,84611             10,23943              7,86138              7,53192             12,42720              7,98787              6,96038              5,26731              6,10896              6,86948              6,01198             10,40889              9,61443             13,40238              7,12750             14,36902              5,73369              7,25077              7,43425              5,00525              6,55148             12,08221             11,85924             14,70033              9,96496              5,12603             10,71356             12,02998              9,38057             14,70315              5,72095
2024-04-23              5,56706              7,14572             11,01323              8,35663             11,58557              5,12309              9,96731              8,88812              8,59113              6,53033              9,52140             11,54767              8,08597             11,51643              5,65296              6,21113             11,45623              9,00767             10,14940             14,81379             14,11348             14,15462             11,85817             11,26936             10,49160             10,61421              5,30972              5,35483             13,40828             14,04658              7,43108             14,77799              6,85831              7,07852             12,71522
2024-04-24              5,70058              7,36747              7,54578              5,22954             10,14703              8,61135             12,25043             10,92528              7,47708              7,99680             13,01425             14,62571              9,83279             14,75022             14,03104              5,09901              7,92145             10,76131             13,70854             12,79042              9,03517              9,49602              8,56640             14,00366              8,63125             13,63130             11,87501              8,74983              9,93858             13,95480             13,26114             13,91727             13,65825              8,69779             11,55521
